"","Query","Hit type","PSSM-ID","From","To","E-Value","Bitscore","Accession","Short name","Incomplete","Superfamily","Definition"
"216","Q#210 - >gb|KAG1651400.1|[Sodium/hydrogen exchanger 8 [Nymphon striatum]]","superfamily",225802,25,317,2.55148e-25,112.111,"cl34572","NhaP2 superfamily","C"," - ","NhaP-type Na+/H+ and K+/H+ antiporter with C-terminal TrkAC and CorC domains [Energy production and conversion, Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters with a unique C-terminal domain [Inorganic ion transport and metabolism]."
"217","Q#211 - >gb|KAG1651401.1|[Sodium/hydrogen exchanger 8 [Nymphon striatum]]","superfamily",223104,24,489,9.95857e-53,190.97,"cl42993","NhaP superfamily"," - "," - ","NhaP-type Na+/H+ or K+/H+ antiporter [Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters [Inorganic ion transport and metabolism]."
"218","Q#211 - >gb|KAG1651401.1|[Sodium/hydrogen exchanger 8 [Nymphon striatum]]","superfamily",225802,25,317,3.92315e-25,111.341,"cl34572","NhaP2 superfamily","C"," - ","NhaP-type Na+/H+ and K+/H+ antiporter with C-terminal TrkAC and CorC domains [Energy production and conversion, Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters with a unique C-terminal domain [Inorganic ion transport and metabolism]."
"219","Q#212 - KAI1299850.1[Sodium/hydrogen exchanger 9B1 [Halotydeus destructor]]","superfamily",223104,40,219,5.94969e-10,59.2319,"cl42993","NhaP superfamily","C"," - ","NhaP-type Na+/H+ or K+/H+ antiporter [Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters [Inorganic ion transport and metabolism]."
"220","Q#213 - KAI1295545.1[Sodium/hydrogen exchanger 9B2 [Halotydeus destructor]]","superfamily",223104,39,436,1.45109e-12,68.8619,"cl42993","NhaP superfamily"," - "," - ","NhaP-type Na+/H+ or K+/H+ antiporter [Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters [Inorganic ion transport and metabolism]."
"221","Q#215 - >emb|CAD6994394.1|[unnamed protein product, partial [Ceratitis capitata]]","superfamily",223104,45,442,4.32777e-18,86.5811,"cl42993","NhaP superfamily"," - "," - ","NhaP-type Na+/H+ or K+/H+ antiporter [Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters [Inorganic ion transport and metabolism]."
"222","Q#215 - >emb|CAD6994394.1|[unnamed protein product, partial [Ceratitis capitata]]","superfamily",225802,57,278,1.75983e-05,47.3976,"cl34572","NhaP2 superfamily","C"," - ","NhaP-type Na+/H+ and K+/H+ antiporter with C-terminal TrkAC and CorC domains [Energy production and conversion, Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters with a unique C-terminal domain [Inorganic ion transport and metabolism]."
"223","Q#216 - >gb|MCL4143441.1|[hypothetical protein GTU68_037401 [Idotea baltica]]","superfamily",225549,1,390,1.47369e-176,496.836,"cl43762","NhaA superfamily"," - "," - ","Na+/H+ antiporter NhaA [Energy production and conversion, Inorganic ion transport and metabolism]; Na+/H+ antiporter [Inorganic ion transport and metabolism]."
"224","Q#217 - >gb|MCL4155886.1|[hypothetical protein GTU68_021389, partial [Idotea baltica]]","superfamily",225549,1,373,3.99866e-170,479.888,"cl43762","NhaA superfamily"," - "," - ","Na+/H+ antiporter NhaA [Energy production and conversion, Inorganic ion transport and metabolism]; Na+/H+ antiporter [Inorganic ion transport and metabolism]."
"225","Q#218 - >gb|MCL4143305.1|[hypothetical protein GTU68_059560 [Idotea baltica]]","superfamily",225549,4,387,1.0987e-174,496.836,"cl43762","NhaA superfamily"," - "," - ","Na+/H+ antiporter NhaA [Energy production and conversion, Inorganic ion transport and metabolism]; Na+/H+ antiporter [Inorganic ion transport and metabolism]."
"226","Q#219 - >gb|MCL4116323.1|[hypothetical protein GTU68_048714 [Idotea baltica]]","superfamily",225549,1,355,1.25813e-159,452.538,"cl43762","NhaA superfamily"," - "," - ","Na+/H+ antiporter NhaA [Energy production and conversion, Inorganic ion transport and metabolism]; Na+/H+ antiporter [Inorganic ion transport and metabolism]."
"227","Q#220 - >gb|MCL4126714.1|[hypothetical protein GTU68_019557 [Idotea baltica]]","superfamily",225549,1,367,2.75748e-154,439.827,"cl43762","NhaA superfamily"," - "," - ","Na+/H+ antiporter NhaA [Energy production and conversion, Inorganic ion transport and metabolism]; Na+/H+ antiporter [Inorganic ion transport and metabolism]."
"228","Q#221 - >gb|MCL4139599.1|[hypothetical protein GTU68_056206 [Idotea baltica]]","superfamily",225549,1,370,5.57365e-150,428.656,"cl43762","NhaA superfamily"," - "," - ","Na+/H+ antiporter NhaA [Energy production and conversion, Inorganic ion transport and metabolism]; Na+/H+ antiporter [Inorganic ion transport and metabolism]."
"229","Q#222 - >gb|MCL4129395.1|[hypothetical protein GTU68_065435, partial [Idotea baltica]]","superfamily",225549,4,381,3.3863e-150,429.812,"cl43762","NhaA superfamily"," - "," - ","Na+/H+ antiporter NhaA [Energy production and conversion, Inorganic ion transport and metabolism]; Na+/H+ antiporter [Inorganic ion transport and metabolism]."
"230","Q#223 - >gb|MCL4166991.1|[hypothetical protein GTU68_012900, partial [Idotea baltica]]","superfamily",225549,16,360,3.47608e-147,420.952,"cl43762","NhaA superfamily"," - "," - ","Na+/H+ antiporter NhaA [Energy production and conversion, Inorganic ion transport and metabolism]; Na+/H+ antiporter [Inorganic ion transport and metabolism]."
"231","Q#224 - >gb|MCL4111552.1|[hypothetical protein GTU68_056224 [Idotea baltica]]","superfamily",225549,3,391,2.64759e-150,430.967,"cl43762","NhaA superfamily"," - "," - ","Na+/H+ antiporter NhaA [Energy production and conversion, Inorganic ion transport and metabolism]; Na+/H+ antiporter [Inorganic ion transport and metabolism]."
"232","Q#225 - >gb|MCL4133982.1|[hypothetical protein GTU68_054661 [Idotea baltica]]","superfamily",225549,1,386,1.07693e-146,421.337,"cl43762","NhaA superfamily"," - "," - ","Na+/H+ antiporter NhaA [Energy production and conversion, Inorganic ion transport and metabolism]; Na+/H+ antiporter [Inorganic ion transport and metabolism]."
"233","Q#226 - >emb|CAG7591281.1|[Na()/H() antiporter NhaA [Hyalomma marginatum]]","superfamily",225549,20,390,1.13596e-130,380.121,"cl43762","NhaA superfamily"," - "," - ","Na+/H+ antiporter NhaA [Energy production and conversion, Inorganic ion transport and metabolism]; Na+/H+ antiporter [Inorganic ion transport and metabolism]."
"234","Q#227 - >gb|MCL4114534.1|[hypothetical protein GTU68_057383 [Idotea baltica]]","superfamily",225549,43,415,1.74526e-125,368.565,"cl43762","NhaA superfamily"," - "," - ","Na+/H+ antiporter NhaA [Energy production and conversion, Inorganic ion transport and metabolism]; Na+/H+ antiporter [Inorganic ion transport and metabolism]."
"235","Q#228 - >gb|KAG1682759.1|[Na(+)/H(+) antiporter NhaA 1 [Nymphon striatum]]","superfamily",225549,854,1286,5.12261e-140,431.352,"cl43762","NhaA superfamily"," - "," - ","Na+/H+ antiporter NhaA [Energy production and conversion, Inorganic ion transport and metabolism]; Na+/H+ antiporter [Inorganic ion transport and metabolism]."
"236","Q#229 - >gb|MCL4130398.1|[hypothetical protein GTU68_051653 [Idotea baltica]]","superfamily",225549,1,372,5.97046e-104,311.941,"cl43762","NhaA superfamily"," - "," - ","Na+/H+ antiporter NhaA [Energy production and conversion, Inorganic ion transport and metabolism]; Na+/H+ antiporter [Inorganic ion transport and metabolism]."
"237","Q#230 - >gb|MCL4122843.1|[hypothetical protein GTU68_031998 [Idotea baltica]]","superfamily",225549,1,340,2.97566e-103,311.555,"cl43762","NhaA superfamily"," - "," - ","Na+/H+ antiporter NhaA [Energy production and conversion, Inorganic ion transport and metabolism]; Na+/H+ antiporter [Inorganic ion transport and metabolism]."
"238","Q#231 - >gb|MCL4149582.1|[hypothetical protein GTU68_038843 [Idotea baltica]]","superfamily",225549,1,234,6.39334e-95,283.051,"cl43762","NhaA superfamily","N"," - ","Na+/H+ antiporter NhaA [Energy production and conversion, Inorganic ion transport and metabolism]; Na+/H+ antiporter [Inorganic ion transport and metabolism]."
"239","Q#232 - >gb|MCL4152715.1|[hypothetical protein GTU68_055256, partial [Idotea baltica]]","superfamily",225549,1,260,2.00282e-104,309.629,"cl43762","NhaA superfamily","N"," - ","Na+/H+ antiporter NhaA [Energy production and conversion, Inorganic ion transport and metabolism]; Na+/H+ antiporter [Inorganic ion transport and metabolism]."
"240","Q#233 - >gb|KAI9549733.1|[putative (+)/H(+) antiporter NhaA-like [Daphnia sinensis]]","superfamily",225549,1,340,7.88025e-91,276.887,"cl43762","NhaA superfamily","N"," - ","Na+/H+ antiporter NhaA [Energy production and conversion, Inorganic ion transport and metabolism]; Na+/H+ antiporter [Inorganic ion transport and metabolism]."
"241","Q#234 - >emb|CAD7237718.1|[unnamed protein product [Cyprideis torosa]]","superfamily",225549,1,350,2.0628e-97,293.836,"cl43762","NhaA superfamily","N"," - ","Na+/H+ antiporter NhaA [Energy production and conversion, Inorganic ion transport and metabolism]; Na+/H+ antiporter [Inorganic ion transport and metabolism]."
"242","Q#235 - >gb|MCL4170293.1|[hypothetical protein GTU68_025038 [Idotea baltica]]","superfamily",225549,1,211,1.03933e-77,238.367,"cl43762","NhaA superfamily","N"," - ","Na+/H+ antiporter NhaA [Energy production and conversion, Inorganic ion transport and metabolism]; Na+/H+ antiporter [Inorganic ion transport and metabolism]."
"243","Q#236 - >gb|MCL4154112.1|[hypothetical protein GTU68_052022, partial [Idotea baltica]]","superfamily",225549,2,192,3.00518e-64,202.544,"cl43762","NhaA superfamily","N"," - ","Na+/H+ antiporter NhaA [Energy production and conversion, Inorganic ion transport and metabolism]; Na+/H+ antiporter [Inorganic ion transport and metabolism]."
"244","Q#237 - >gb|MCL4166653.1|[hypothetical protein GTU68_008019, partial [Idotea baltica]]","superfamily",225549,13,342,2.8497e-38,140.142,"cl43762","NhaA superfamily"," - "," - ","Na+/H+ antiporter NhaA [Energy production and conversion, Inorganic ion transport and metabolism]; Na+/H+ antiporter [Inorganic ion transport and metabolism]."
"245","Q#238 - >gb|MCL4109674.1|[hypothetical protein GTU68_055035 [Idotea baltica]]","superfamily",225549,31,373,1.5686e-37,140.142,"cl43762","NhaA superfamily"," - "," - ","Na+/H+ antiporter NhaA [Energy production and conversion, Inorganic ion transport and metabolism]; Na+/H+ antiporter [Inorganic ion transport and metabolism]."
"246","Q#239 - >gb|KAF4525946.1|[hypothetical protein B566_EDAN000737 [Ephemera danica]]","superfamily",223104,85,484,2.97163e-24,104.685,"cl42993","NhaP superfamily"," - "," - ","NhaP-type Na+/H+ or K+/H+ antiporter [Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters [Inorganic ion transport and metabolism]."
"247","Q#239 - >gb|KAF4525946.1|[hypothetical protein B566_EDAN000737 [Ephemera danica]]","superfamily",225802,97,432,6.57861e-06,48.5532,"cl34572","NhaP2 superfamily","C"," - ","NhaP-type Na+/H+ and K+/H+ antiporter with C-terminal TrkAC and CorC domains [Energy production and conversion, Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters with a unique C-terminal domain [Inorganic ion transport and metabolism]."
"248","Q#240 - >gb|KAF4525624.1|[hypothetical protein B566_EDAN001223 [Ephemera danica]]","superfamily",223104,182,576,7.74142e-21,95.4407,"cl42993","NhaP superfamily"," - "," - ","NhaP-type Na+/H+ or K+/H+ antiporter [Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters [Inorganic ion transport and metabolism]."
"249","Q#240 - >gb|KAF4525624.1|[hypothetical protein B566_EDAN001223 [Ephemera danica]]","superfamily",225802,174,520,0.00011767,45.0864,"cl34572","NhaP2 superfamily","C"," - ","NhaP-type Na+/H+ and K+/H+ antiporter with C-terminal TrkAC and CorC domains [Energy production and conversion, Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters with a unique C-terminal domain [Inorganic ion transport and metabolism]."
"250","Q#241 - >gb|KAF4529021.1|[hypothetical protein B566_EDAN016870 [Ephemera danica]]","superfamily",223104,64,420,2.47192e-07,52.2983,"cl42993","NhaP superfamily"," - "," - ","NhaP-type Na+/H+ or K+/H+ antiporter [Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters [Inorganic ion transport and metabolism]."
"251","Q#242 - >emb|CAB3231150.1|[unnamed protein product [Arctia plantaginis]]","superfamily",223104,297,701,4.56235e-33,132.805,"cl42993","NhaP superfamily"," - "," - ","NhaP-type Na+/H+ or K+/H+ antiporter [Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters [Inorganic ion transport and metabolism]."
"252","Q#242 - >emb|CAB3231150.1|[unnamed protein product [Arctia plantaginis]]","superfamily",225802,297,685,8.69169e-10,62.0351,"cl34572","NhaP2 superfamily","C"," - ","NhaP-type Na+/H+ and K+/H+ antiporter with C-terminal TrkAC and CorC domains [Energy production and conversion, Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters with a unique C-terminal domain [Inorganic ion transport and metabolism]."
"253","Q#243 - >emb|CAB3231151.1|[unnamed protein product [Arctia plantaginis]]","superfamily",223104,164,568,1.93044e-29,121.249,"cl42993","NhaP superfamily"," - "," - ","NhaP-type Na+/H+ or K+/H+ antiporter [Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters [Inorganic ion transport and metabolism]."
"254","Q#243 - >emb|CAB3231151.1|[unnamed protein product [Arctia plantaginis]]","superfamily",225802,164,410,8.88143e-09,58.1831,"cl34572","NhaP2 superfamily","C"," - ","NhaP-type Na+/H+ and K+/H+ antiporter with C-terminal TrkAC and CorC domains [Energy production and conversion, Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters with a unique C-terminal domain [Inorganic ion transport and metabolism]."
"255","Q#244 - >emb|CAB3223254.1|[unnamed protein product [Arctia plantaginis]]","superfamily",223104,102,519,1.92554e-26,111.619,"cl42993","NhaP superfamily"," - "," - ","NhaP-type Na+/H+ or K+/H+ antiporter [Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters [Inorganic ion transport and metabolism]."
"256","Q#244 - >emb|CAB3223254.1|[unnamed protein product [Arctia plantaginis]]","superfamily",225802,104,441,5.36605e-09,58.5683,"cl34572","NhaP2 superfamily","C"," - ","NhaP-type Na+/H+ and K+/H+ antiporter with C-terminal TrkAC and CorC domains [Energy production and conversion, Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters with a unique C-terminal domain [Inorganic ion transport and metabolism]."
"257","Q#246 - >emb|CAB3231154.1|[unnamed protein product [Arctia plantaginis]]","superfamily",223104,77,505,1.98074e-11,65.7803,"cl42993","NhaP superfamily"," - "," - ","NhaP-type Na+/H+ or K+/H+ antiporter [Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters [Inorganic ion transport and metabolism]."
"258","Q#247 - >emb|CAB3249883.1|[unnamed protein product [Arctia plantaginis]]","superfamily",223104,77,505,4.63337e-11,64.6247,"cl42993","NhaP superfamily"," - "," - ","NhaP-type Na+/H+ or K+/H+ antiporter [Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters [Inorganic ion transport and metabolism]."
"259","Q#250 - >gb|KAJ4436481.1|[hypothetical protein ANN_16512 [Periplaneta americana]]","superfamily",223104,196,590,8.55286e-26,110.463,"cl42993","NhaP superfamily"," - "," - ","NhaP-type Na+/H+ or K+/H+ antiporter [Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters [Inorganic ion transport and metabolism]."
"260","Q#250 - >gb|KAJ4436481.1|[hypothetical protein ANN_16512 [Periplaneta americana]]","superfamily",225802,196,393,7.94452e-08,55.1015,"cl34572","NhaP2 superfamily","C"," - ","NhaP-type Na+/H+ and K+/H+ antiporter with C-terminal TrkAC and CorC domains [Energy production and conversion, Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters with a unique C-terminal domain [Inorganic ion transport and metabolism]."
"261","Q#251 - >gb|KAJ4439351.1|[hypothetical protein ANN_07473 [Periplaneta americana]]","superfamily",223104,86,511,3.80983e-16,80.4179,"cl42993","NhaP superfamily"," - "," - ","NhaP-type Na+/H+ or K+/H+ antiporter [Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters [Inorganic ion transport and metabolism]."
"262","Q#252 - >gb|KAJ4436265.1|[hypothetical protein ANN_18896 [Periplaneta americana]]","superfamily",223104,68,431,1.31927e-11,65.7803,"cl42993","NhaP superfamily"," - "," - ","NhaP-type Na+/H+ or K+/H+ antiporter [Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters [Inorganic ion transport and metabolism]."
"263","Q#253 - >gb|KAJ4436258.1|[hypothetical protein ANN_18889 [Periplaneta americana]]","superfamily",223104,180,598,1.22943e-12,70.0175,"cl42993","NhaP superfamily"," - "," - ","NhaP-type Na+/H+ or K+/H+ antiporter [Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters [Inorganic ion transport and metabolism]."
"264","Q#254 - >gb|KAJ4436258.1|[hypothetical protein ANN_18889 [Periplaneta americana]]","superfamily",223104,180,598,1.22943e-12,70.0175,"cl42993","NhaP superfamily"," - "," - ","NhaP-type Na+/H+ or K+/H+ antiporter [Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters [Inorganic ion transport and metabolism]."
"265","Q#255 - >gb|KAJ4436260.1|[hypothetical protein ANN_18891, partial [Periplaneta americana]]","superfamily",223104,48,253,1.46869e-09,58.8467,"cl42993","NhaP superfamily","C"," - ","NhaP-type Na+/H+ or K+/H+ antiporter [Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters [Inorganic ion transport and metabolism]."
"266","Q#255 - >gb|KAJ4436260.1|[hypothetical protein ANN_18891, partial [Periplaneta americana]]","superfamily",225802,135,204,0.000154605,43.5456,"cl34572","NhaP2 superfamily","C"," - ","NhaP-type Na+/H+ and K+/H+ antiporter with C-terminal TrkAC and CorC domains [Energy production and conversion, Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters with a unique C-terminal domain [Inorganic ion transport and metabolism]."
"267","Q#256 - >gb|KAJ4429153.1|[hypothetical protein ANN_26156, partial [Periplaneta americana]]","superfamily",223104,149,292,9.22522e-05,43.8239,"cl42993","NhaP superfamily","N"," - ","NhaP-type Na+/H+ or K+/H+ antiporter [Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters [Inorganic ion transport and metabolism]."
"268","Q#257 - >gb|KAI5736882.1|[hypothetical protein M8J76_008099 [Diaphorina citri]]","superfamily",223104,114,549,3.27694e-25,108.152,"cl42993","NhaP superfamily"," - "," - ","NhaP-type Na+/H+ or K+/H+ antiporter [Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters [Inorganic ion transport and metabolism]."
"269","Q#257 - >gb|KAI5736882.1|[hypothetical protein M8J76_008099 [Diaphorina citri]]","superfamily",225802,117,455,8.0662e-08,55.1015,"cl34572","NhaP2 superfamily","C"," - ","NhaP-type Na+/H+ and K+/H+ antiporter with C-terminal TrkAC and CorC domains [Energy production and conversion, Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters with a unique C-terminal domain [Inorganic ion transport and metabolism]."
"270","Q#258 - >gb|KAI5704272.1|[hypothetical protein M8J75_003579 [Diaphorina citri]]","superfamily",223104,114,549,7.9555e-25,106.997,"cl42993","NhaP superfamily"," - "," - ","NhaP-type Na+/H+ or K+/H+ antiporter [Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters [Inorganic ion transport and metabolism]."
"271","Q#258 - >gb|KAI5704272.1|[hypothetical protein M8J75_003579 [Diaphorina citri]]","superfamily",225802,117,455,4.60349e-07,52.4051,"cl34572","NhaP2 superfamily","C"," - ","NhaP-type Na+/H+ and K+/H+ antiporter with C-terminal TrkAC and CorC domains [Energy production and conversion, Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters with a unique C-terminal domain [Inorganic ion transport and metabolism]."
"272","Q#259 - >gb|KAI5704273.1|[hypothetical protein M8J75_003579 [Diaphorina citri]]","superfamily",223104,81,516,9.94566e-23,100.448,"cl42993","NhaP superfamily"," - "," - ","NhaP-type Na+/H+ or K+/H+ antiporter [Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters [Inorganic ion transport and metabolism]."
"273","Q#259 - >gb|KAI5704273.1|[hypothetical protein M8J75_003579 [Diaphorina citri]]","superfamily",225802,84,423,1.49258e-06,50.8644,"cl34572","NhaP2 superfamily","C"," - ","NhaP-type Na+/H+ and K+/H+ antiporter with C-terminal TrkAC and CorC domains [Energy production and conversion, Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters with a unique C-terminal domain [Inorganic ion transport and metabolism]."
"274","Q#260 - >gb|KAI5742064.1|[hypothetical protein M8J77_002643 [Diaphorina citri]]","superfamily",223104,118,515,3.9326e-21,95.8259,"cl42993","NhaP superfamily"," - "," - ","NhaP-type Na+/H+ or K+/H+ antiporter [Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters [Inorganic ion transport and metabolism]."
"275","Q#260 - >gb|KAI5742064.1|[hypothetical protein M8J77_002643 [Diaphorina citri]]","superfamily",225802,123,478,1.52506e-06,50.8644,"cl34572","NhaP2 superfamily","C"," - ","NhaP-type Na+/H+ and K+/H+ antiporter with C-terminal TrkAC and CorC domains [Energy production and conversion, Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters with a unique C-terminal domain [Inorganic ion transport and metabolism]."
"276","Q#261 - >gb|KAI5704627.1|[hypothetical protein M8J75_007401 [Diaphorina citri]]","superfamily",223104,118,506,4.41632e-21,95.4407,"cl42993","NhaP superfamily"," - "," - ","NhaP-type Na+/H+ or K+/H+ antiporter [Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters [Inorganic ion transport and metabolism]."
"277","Q#261 - >gb|KAI5704627.1|[hypothetical protein M8J75_007401 [Diaphorina citri]]","superfamily",225802,123,469,8.99129e-05,45.0864,"cl34572","NhaP2 superfamily","C"," - ","NhaP-type Na+/H+ and K+/H+ antiporter with C-terminal TrkAC and CorC domains [Energy production and conversion, Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters with a unique C-terminal domain [Inorganic ion transport and metabolism]."
"278","Q#262 - >gb|KAI5704902.1|[hypothetical protein M8J75_009879 [Diaphorina citri]]","superfamily",223104,219,630,4.86363e-23,102.374,"cl42993","NhaP superfamily"," - "," - ","NhaP-type Na+/H+ or K+/H+ antiporter [Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters [Inorganic ion transport and metabolism]."
"279","Q#262 - >gb|KAI5704902.1|[hypothetical protein M8J75_009879 [Diaphorina citri]]","superfamily",225802,223,417,7.23744e-06,49.3236,"cl34572","NhaP2 superfamily","C"," - ","NhaP-type Na+/H+ and K+/H+ antiporter with C-terminal TrkAC and CorC domains [Energy production and conversion, Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters with a unique C-terminal domain [Inorganic ion transport and metabolism]."
"280","Q#263 - >gb|KAI5742900.1|[hypothetical protein M8J77_012411 [Diaphorina citri]]","superfamily",223104,220,631,4.5325e-23,102.374,"cl42993","NhaP superfamily"," - "," - ","NhaP-type Na+/H+ or K+/H+ antiporter [Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters [Inorganic ion transport and metabolism]."
"281","Q#263 - >gb|KAI5742900.1|[hypothetical protein M8J77_012411 [Diaphorina citri]]","superfamily",225802,224,418,7.00603e-06,49.3236,"cl34572","NhaP2 superfamily","C"," - ","NhaP-type Na+/H+ and K+/H+ antiporter with C-terminal TrkAC and CorC domains [Energy production and conversion, Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters with a unique C-terminal domain [Inorganic ion transport and metabolism]."
"282","Q#264 - >gb|KAI5737038.1|[hypothetical protein M8J76_009530 [Diaphorina citri]]","superfamily",223104,212,623,8.18618e-23,101.604,"cl42993","NhaP superfamily"," - "," - ","NhaP-type Na+/H+ or K+/H+ antiporter [Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters [Inorganic ion transport and metabolism]."
"283","Q#264 - >gb|KAI5737038.1|[hypothetical protein M8J76_009530 [Diaphorina citri]]","superfamily",225802,216,410,7.01802e-06,49.3236,"cl34572","NhaP2 superfamily","C"," - ","NhaP-type Na+/H+ and K+/H+ antiporter with C-terminal TrkAC and CorC domains [Energy production and conversion, Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters with a unique C-terminal domain [Inorganic ion transport and metabolism]."
"284","Q#266 - >gb|KAG8183784.1|[hypothetical protein JTE90_001680 [Oedothorax gibbosus]]","superfamily",223104,71,476,2.34095e-19,90.4331,"cl42993","NhaP superfamily"," - "," - ","NhaP-type Na+/H+ or K+/H+ antiporter [Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters [Inorganic ion transport and metabolism]."
"285","Q#267 - >gb|KAG8186332.1|[hypothetical protein JTE90_005864 [Oedothorax gibbosus]]","superfamily",223104,60,462,2.68067e-22,99.2927,"cl42993","NhaP superfamily"," - "," - ","NhaP-type Na+/H+ or K+/H+ antiporter [Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters [Inorganic ion transport and metabolism]."
"286","Q#268 - >gb|KAG8183783.1|[hypothetical protein JTE90_001679 [Oedothorax gibbosus]]","superfamily",223104,88,489,9.57391e-18,85.4255,"cl42993","NhaP superfamily"," - "," - ","NhaP-type Na+/H+ or K+/H+ antiporter [Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters [Inorganic ion transport and metabolism]."
"287","Q#268 - >gb|KAG8183783.1|[hypothetical protein JTE90_001679 [Oedothorax gibbosus]]","superfamily",225802,135,305,0.000356748,43.1604,"cl34572","NhaP2 superfamily","C"," - ","NhaP-type Na+/H+ and K+/H+ antiporter with C-terminal TrkAC and CorC domains [Energy production and conversion, Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters with a unique C-terminal domain [Inorganic ion transport and metabolism]."
"288","Q#269 - >gb|KAG8186330.1|[hypothetical protein JTE90_005862 [Oedothorax gibbosus]]","superfamily",223104,92,428,4.01408e-18,86.5811,"cl42993","NhaP superfamily"," - "," - ","NhaP-type Na+/H+ or K+/H+ antiporter [Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters [Inorganic ion transport and metabolism]."
"289","Q#269 - >gb|KAG8186330.1|[hypothetical protein JTE90_005862 [Oedothorax gibbosus]]","superfamily",225802,135,421,5.85051e-05,45.8568,"cl34572","NhaP2 superfamily","C"," - ","NhaP-type Na+/H+ and K+/H+ antiporter with C-terminal TrkAC and CorC domains [Energy production and conversion, Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters with a unique C-terminal domain [Inorganic ion transport and metabolism]."
"290","Q#270 - >gb|KAG8172704.1|[hypothetical protein JTE90_011582 [Oedothorax gibbosus]]","superfamily",223104,60,165,0.000144426,41.5127,"cl42993","NhaP superfamily","C"," - ","NhaP-type Na+/H+ or K+/H+ antiporter [Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters [Inorganic ion transport and metabolism]."
